"X","Y","Org_Result"
-82.646634,37.601236,"GAS"
-82.637524,37.608268,"GAS"
-82.629364,37.602266,"GAS"
-82.607594,37.616049,"GAS"
-82.651122,37.597391,"GAS"
-82.841107,37.670649,"GAS"
-82.794899,37.735256,"GAS"
-82.781433,37.692311,"GAS"
-82.646076,37.676291,"GAS"
-84.380853,37.577785,"GAS"
-84.637528,37.720453,"GAS"
-84.637528,37.720453,"GAS"
-86.433299,37.328088,"GAS"
-86.357025,37.328714,"GAS"
-86.361313,37.330307,"GAS"
-86.358757,37.331823,"GAS"
-86.378841,37.326517,"GAS"
-86.371801,37.325391,"GAS"
-86.366815,37.329401,"GAS"
-86.370449,37.33045,"GAS"
-86.377981,37.33201,"GAS"
-86.388939,37.330532,"GAS"
-86.392722,37.328989,"GAS"
-86.385465,37.332592,"GAS"
-86.396969,37.325556,"GAS"
-86.386818,37.325281,"GAS"
-86.402442,37.324906,"GAS"
-86.518747,37.382972,"GAS"
-86.467955,37.387229,"GAS"
-86.467905,37.377154,"GAS"
-86.459079,37.351176,"GAS"
-86.467183,37.347391,"GAS"
-86.360619,37.401109,"GAS"
-86.36529,37.403433,"GAS"
-86.374561,37.407467,"GAS"
-86.370281,37.408514,"GAS"
-86.367321,37.400206,"GAS"
-86.36716,37.416444,"GAS"
-86.37918,37.412187,"GAS"
-86.388337,37.40999,"GAS"
-86.387097,37.416444,"GAS"
-86.392426,37.405905,"GAS"
-86.398967,37.40769,"GAS"
-86.384538,37.405081,"GAS"
-86.395503,37.408754,"GAS"
-86.390022,37.392911,"GAS"
-86.387957,37.387449,"GAS"
-86.384722,37.392911,"GAS"
-86.372898,37.410213,"GAS"
-86.363913,37.399808,"GAS"
-86.357548,37.385169,"GAS"
-86.34249,37.387038,"GAS"
-86.335752,37.379759,"GAS"
-86.339244,37.379402,"GAS"
-86.356125,37.379818,"GAS"
-86.360312,37.369189,"GAS"
-86.37083,37.36804,"GAS"
-86.382301,37.374769,"GAS"
-86.374925,37.368864,"GAS"
-86.398601,37.372485,"GAS"
-86.391317,37.373121,"GAS"
-86.395871,37.36804,"GAS"
-86.386499,37.379763,"GAS"
-86.39516,37.379237,"GAS"
-86.406,37.381187,"GAS"
-86.401411,37.361751,"GAS"
-86.387439,37.356862,"GAS"
-86.386671,37.353708,"GAS"
-86.399582,37.354348,"GAS"
-86.395355,37.355713,"GAS"
-86.379527,37.359659,"GAS"
-86.369464,37.363147,"GAS"
